iter	RMSE
0	4241.545123
1	3973.309952
2	3732.41348
3	3516.046993
4	3329.706512
5	3162.748692
6	3013.946408
7	2887.571952
8	2779.045374
9	2682.452768
10	2596.228127
11	2517.513687
12	2448.850479
13	2382.633083
14	2326.43502
15	2274.871677
16	2235.6186
17	2197.92697
18	2163.546096
19	2134.835686
20	2106.790528
21	2082.168154
22	2060.344225
23	2041.015328
24	2026.960152
25	2012.260736
26	1999.528978
27	1986.816852
28	1975.731631
29	1965.720978
30	1953.750655
31	1945.23162
32	1936.629806
33	1927.278307
34	1921.088957
35	1913.794598
36	1907.098479
37	1901.765654
38	1896.353227
39	1891.800561
40	1888.085358
41	1884.156249
42	1880.128083
43	1876.983725
44	1872.815977
45	1868.56954
46	1865.688495
47	1862.332373
48	1858.346703
49	1855.444353
50	1853.26127
51	1849.827449
52	1846.426174
53	1844.304332
54	1842.931257
55	1839.639671
56	1838.194348
57	1834.704974
58	1831.004478
59	1827.684046
60	1823.533151
61	1821.904787
62	1819.710972
63	1817.108087
64	1814.487934
65	1811.099929
66	1807.685026
67	1805.87618
68	1804.157234
69	1800.754262
70	1798.734225
71	1795.899788
72	1794.448614
73	1792.990834
74	1791.604744
75	1790.374024
76	1788.515582
77	1787.076225
78	1784.871884
79	1783.338782
80	1781.303919
81	1780.34992
82	1779.252538
83	1777.257439
84	1775.285761
85	1774.209368
86	1772.112792
87	1770.532183
88	1768.952414
89	1767.044284
90	1764.590304
91	1763.054342
92	1761.478835
93	1759.798144
94	1758.326448
95	1756.650667
96	1755.965
97	1754.847381
98	1753.757312
99	1752.702438
100	1751.494181
101	1750.928016
102	1750.436796
103	1749.174646
104	1747.635057
105	1746.210409
106	1745.691252
107	1744.74462
108	1743.728968
109	1742.823967
110	1740.881746
111	1739.834475
112	1738.099767
113	1736.939466
114	1735.470084
115	1734.105795
116	1733.48079
117	1732.093425
118	1731.417544
119	1730.188082
120	1729.032858
121	1727.720392
122	1726.675756
123	1725.87184
124	1724.701362
125	1723.775203
126	1723.049352
127	1722.172188
128	1721.387289
129	1720.127647
130	1719.316119
131	1718.057416
132	1716.92777
133	1716.462746
134	1715.261956
135	1714.785822
136	1713.663501
137	1713.147885
138	1712.861009
139	1711.828534
140	1710.437904
141	1709.130617
142	1708.06421
143	1707.151614
144	1705.811609
145	1705.26603
146	1704.848116
147	1703.414035
148	1702.370899
149	1701.252777
150	1700.130796
151	1699.33808
152	1699.005532
153	1698.292493
154	1697.477087
155	1697.188382
156	1696.419254
157	1695.605615
158	1695.194996
159	1694.468291
160	1693.625627
161	1692.678019
162	1691.045642
163	1689.65761
164	1688.931537
165	1688.436269
166	1687.712275
167	1687.532052
168	1686.972714
169	1686.141792
170	1685.517752
171	1684.793504
172	1684.014852
173	1683.798233
174	1682.580189
175	1681.770978
176	1681.064772
177	1680.188551
178	1679.910862
179	1679.222719
180	1678.36269
181	1677.726065
182	1677.106813
183	1676.906471
184	1676.503326
185	1675.946287
186	1675.188185
187	1674.198249
188	1673.289732
189	1672.476556
190	1672.127666
191	1671.288352
192	1670.851072
193	1670.187014
194	1669.420272
195	1668.913673
196	1668.472981
197	1667.802928
198	1667.405704
199	1666.896428
200	1666.255347
201	1665.432409
202	1665.049525
203	1664.350142
204	1663.629357
205	1663.049514
206	1662.365428
207	1661.644159
208	1661.009945
209	1660.519924
210	1660.026101
211	1659.679035
212	1658.898629
213	1658.395632
214	1657.415501
215	1657.12133
216	1656.513005
217	1655.924749
218	1655.382971
219	1654.925697
220	1654.204329
221	1653.711134
222	1652.709394
223	1651.894662
224	1651.423604
225	1650.696456
226	1650.219719
227	1650.091973
228	1649.469723
229	1648.979789
230	1648.555535
231	1648.152458
232	1647.643063
233	1647.18867
234	1646.695962
235	1646.295262
236	1645.827588
237	1645.226284
238	1644.723913
239	1644.490377
240	1643.868862
241	1643.319833
242	1642.712997
243	1642.539484
244	1641.892502
245	1641.573199
246	1641.251503
247	1640.730575
248	1640.354851
249	1639.672162
250	1639.21563
251	1638.617283
252	1638.334475
253	1638.075704
254	1637.565987
255	1637.017415
256	1636.620578
257	1636.36625
258	1636.258598
259	1635.799455
260	1635.645861
261	1635.152248
262	1634.999092
263	1634.598159
264	1634.082833
265	1633.785037
266	1633.082082
267	1632.478905
268	1631.89006
269	1631.743381
270	1631.284883
271	1630.780651
272	1629.986
273	1629.436375
274	1628.723739
275	1628.233621
276	1627.844094
277	1627.542361
278	1627.336848
279	1626.708494
280	1625.934047
281	1625.413943
282	1625.021204
283	1624.775819
284	1624.118521
285	1623.47404
286	1623.171915
287	1622.704137
288	1622.212295
289	1621.754919
290	1621.302836
291	1620.648599
292	1620.274546
293	1619.96022
294	1619.71716
295	1619.551924
296	1619.118793
297	1618.734535
298	1618.529519
299	1617.975415
300	1617.535223
301	1617.2482
302	1617.001831
303	1616.669821
304	1616.393191
305	1616.263668
306	1615.896232
307	1615.208325
308	1614.741353
309	1614.297786
310	1613.985734
311	1613.657146
312	1613.412685
313	1613.187744
314	1612.828915
315	1612.566248
316	1612.230118
317	1611.791119
318	1611.681502
319	1611.180082
320	1610.978008
321	1610.708033
322	1610.325963
323	1610.016221
324	1609.802705
325	1609.42067
326	1609.049775
327	1608.644407
328	1608.32266
329	1608.083303
330	1607.720586
331	1607.167103
332	1606.73766
333	1606.515438
334	1606.197608
335	1606.129792
336	1605.302021
337	1604.485639
338	1604.164086
339	1603.992676
340	1603.834955
341	1603.644488
342	1603.434767
343	1602.922825
344	1602.594169
345	1602.390231
346	1602.078148
347	1601.70276
348	1601.544623
349	1601.195779
350	1601.027649
351	1600.661047
352	1600.526529
353	1600.152283
354	1599.906601
355	1599.553421
356	1599.231896
357	1598.958929
358	1598.507737
359	1598.199288
360	1597.977618
361	1597.779943
362	1597.392684
363	1597.178922
364	1597.065457
365	1596.890791
366	1596.755005
367	1596.40487
368	1596.082112
369	1595.706497
370	1595.559176
371	1595.199555
372	1594.985772
373	1594.593196
374	1594.294587
375	1593.919912
376	1593.766934
377	1593.381461
378	1593.139092
379	1592.816718
380	1592.288614
381	1591.871916
382	1591.432963
383	1591.138392
384	1590.754906
385	1590.389215
386	1590.033005
387	1589.730708
388	1589.449161
389	1589.218768
390	1588.674811
391	1588.512921
392	1588.134974
393	1587.624704
394	1587.316838
395	1587.022226
396	1586.309202
397	1586.127632
398	1585.934581
399	1585.592618
400	1585.40893
401	1584.90557
402	1584.482918
403	1584.241006
404	1583.922768
405	1583.696404
406	1583.269429
407	1583.199869
408	1582.88785
409	1582.613277
410	1582.203901
411	1581.902171
412	1581.362134
413	1581.159909
414	1581.011774
415	1580.525561
416	1580.278499
417	1580.183991
418	1580.038011
419	1579.924764
420	1579.561862
421	1579.296723
422	1579.085281
423	1578.483508
424	1578.184257
425	1577.80265
426	1577.554387
427	1577.413801
428	1577.299869
429	1577.098741
430	1576.888629
431	1576.346282
432	1576.007279
433	1575.534714
434	1575.29064
435	1574.979882
436	1574.883913
437	1574.436239
438	1574.253816
439	1574.044502
440	1573.974953
441	1573.655646
442	1573.526266
443	1573.099691
444	1572.697361
445	1572.534237
446	1572.384304
447	1572.282882
448	1572.061148
449	1571.790584
450	1571.576011
451	1571.296887
452	1571.160821
453	1571.036037
454	1570.767944
455	1570.71089
456	1570.622225
457	1570.397589
458	1570.351426
459	1570.023252
460	1569.798206
461	1569.602841
462	1569.382134
463	1569.14716
464	1568.777356
465	1568.625886
466	1568.329205
467	1568.071183
468	1567.845865
469	1567.788212
470	1567.691461
471	1567.449138
472	1567.350102
473	1566.863087
474	1566.566671
475	1566.162431
476	1566.112569
477	1565.642238
478	1565.495132
479	1565.032384
480	1564.655036
481	1564.375559
482	1563.904636
483	1563.655905
484	1563.55314
485	1563.424914
486	1563.267889
487	1563.199728
488	1563.072523
489	1562.970709
490	1562.812475
491	1562.52844
492	1562.324405
493	1561.956565
494	1561.732512
495	1561.475652
496	1561.395659
497	1561.335947
498	1561.160524
499	1561.012546
500	1560.894393
501	1560.585674
502	1560.339422
503	1560.09063
504	1559.525871
505	1559.293206
506	1559.055513
507	1558.863462
508	1558.552991
509	1558.311627
510	1558.233002
511	1558.015676
512	1557.787873
513	1557.436752
514	1557.29226
515	1557.239624
516	1556.822029
517	1556.650813
518	1556.315298
519	1556.17617
520	1555.746634
521	1555.635676
522	1555.341359
523	1555.092441
524	1554.941368
525	1554.686988
526	1554.596126
527	1554.486798
528	1554.152314
529	1553.848105
530	1553.558073
531	1553.267637
532	1552.886832
533	1552.720448
534	1552.541229
535	1552.11166
536	1551.816386
537	1551.741281
538	1551.564793
539	1551.296864
540	1551.191031
541	1550.857923
542	1550.67518
543	1550.4544
544	1550.205549
545	1550.075401
546	1549.824606
547	1549.528773
548	1549.514597
549	1549.16234
550	1548.962079
551	1548.87396
552	1548.731978
553	1548.619123
554	1548.434027
555	1548.22649
556	1548.036998
557	1547.902431
558	1547.802091
559	1547.393168
560	1547.17216
561	1547.036598
562	1546.716706
563	1546.499554
564	1546.126637
565	1546.024028
566	1545.779933
567	1545.469572
568	1545.380075
569	1545.236034
570	1545.114971
571	1544.822201
572	1544.719224
573	1544.444208
574	1544.219988
575	1544.082081
576	1543.964363
577	1543.538481
578	1543.379136
579	1543.164591
580	1542.928691
581	1542.830136
582	1542.620377
583	1542.408741
584	1542.209238
585	1541.988648
586	1541.705428
587	1541.570834
588	1541.15416
589	1541.008938
590	1540.818803
591	1540.740173
592	1540.693158
593	1540.607379
594	1540.509831
595	1540.140832
596	1539.940927
597	1539.886403
598	1539.77956
599	1539.375349
600	1539.208198
601	1538.939532
602	1538.836549
603	1538.605878
604	1538.488946
605	1538.361584
606	1538.073103
607	1537.943804
608	1537.890225
609	1537.745104
610	1537.591779
611	1537.489562
612	1537.327206
613	1537.012517
614	1536.747945
615	1536.451771
616	1536.286292
617	1536.15232
618	1536.027289
619	1535.859619
620	1535.486831
621	1535.123715
622	1534.991781
623	1534.712347
624	1534.541586
625	1534.341326
626	1534.278432
627	1533.981055
628	1533.93547
629	1533.791575
630	1533.520198
631	1533.210342
632	1533.045468
633	1532.821634
634	1532.554584
635	1532.158789
636	1532.124963
637	1531.8512
638	1531.66903
639	1531.394267
640	1531.129741
641	1530.958638
642	1530.888918
643	1530.658473
644	1530.620115
645	1530.366765
646	1530.125353
647	1529.976113
648	1529.673424
649	1529.563294
650	1529.243323
651	1529.099622
652	1529.040897
653	1528.791921
654	1528.689356
655	1528.601098
656	1528.264451
657	1528.156897
658	1528.074993
659	1527.865993
660	1527.772445
661	1527.567944
662	1527.361426
663	1527.244921
664	1527.089368
665	1527.039729
666	1526.831655
667	1526.619873
668	1526.518365
669	1526.495294
670	1526.316212
671	1526.26046
672	1525.942185
673	1525.802289
674	1525.617784
675	1525.347327
676	1525.245561
677	1524.987433
678	1524.822678
679	1524.524167
680	1524.408045
681	1524.268132
682	1524.219664
683	1524.056671
684	1523.917814
685	1523.838111
686	1523.712498
687	1523.503288
688	1523.352719
689	1523.250676
690	1522.91753
691	1522.73842
692	1522.399828
693	1522.178924
694	1521.92983
695	1521.837841
696	1521.683325
697	1521.643474
698	1521.406347
699	1521.247796
700	1521.177038
701	1520.714476
702	1520.62722
703	1520.510286
704	1520.310183
705	1520.211554
706	1520.095939
707	1520.092285
708	1519.925377
709	1519.649465
710	1519.587686
711	1519.584569
712	1519.424097
713	1519.339544
714	1519.233099
715	1519.047955
716	1518.951867
717	1518.778036
718	1518.740834
719	1518.565836
720	1518.345299
721	1518.268073
722	1518.15055
723	1518.049484
724	1517.732383
725	1517.614968
726	1517.490063
727	1517.457727
728	1517.242897
729	1517.083823
730	1517.010635
731	1516.843999
732	1516.728586
733	1516.596946
734	1516.461563
735	1516.423836
736	1516.279157
737	1516.080366
738	1515.959235
739	1515.937286
740	1515.900371
741	1515.746437
742	1515.431432
743	1515.255463
744	1515.115151
745	1514.912867
746	1514.735354
747	1514.509052
748	1514.415513
749	1514.278884
750	1513.919586
751	1513.737232
752	1513.626699
753	1513.582503
754	1513.549864
755	1513.295215
756	1513.192003
757	1513.188424
758	1513.018872
759	1512.922085
760	1512.534051
761	1512.510639
762	1512.123569
763	1512.045861
764	1511.751472
765	1511.570313
766	1511.251026
767	1511.142083
768	1511.000153
769	1510.842365
770	1510.580534
771	1510.368523
772	1510.182673
773	1509.926875
774	1509.781092
775	1509.634047
776	1509.403505
777	1509.308418
778	1509.225771
779	1509.159389
780	1509.011117
781	1508.925064
782	1508.729932
783	1508.591219
784	1508.315298
785	1508.172964
786	1508.142346
787	1508.103547
