iter	Passed	Remaining
0	125	125734
1	249	124612
2	352	117187
3	476	118730
4	577	114855
5	685	113622
6	794	112746
7	924	114637
8	1034	113906
9	1134	112352
10	1281	115253
11	1417	116726
12	1563	118733
13	1701	119854
14	1819	119471
15	1914	117767
16	2027	117244
17	2149	117269
18	2246	115986
19	2356	115485
20	2467	115049
21	2582	114782
22	2704	114870
23	2807	114166
24	2917	113769
25	3035	113698
26	3158	113812
27	3276	113730
28	3403	113965
29	3495	113018
30	3632	113533
31	3733	112940
32	3853	112915
33	3959	112509
34	4061	111969
35	4153	111211
36	4251	110644
37	4361	110422
38	4460	109920
39	4579	109912
40	4693	109780
41	4793	109327
42	4876	108536
43	4991	108443
44	5112	108501
45	5214	108145
46	5319	107854
47	5426	107629
48	5541	107549
49	5655	107452
50	5763	107240
51	5873	107074
52	5975	106764
53	6077	106473
54	6183	106238
55	6311	106401
56	6422	106259
57	6525	105982
58	6638	105885
59	6728	105420
60	6842	105334
61	6944	105057
62	7055	104933
63	7174	104923
64	7265	104512
65	7374	104358
66	7461	103907
67	7568	103726
68	7665	103428
69	7761	103119
70	7871	102996
71	7984	102915
72	8105	102928
73	8214	102790
74	8317	102587
75	8402	102158
76	8494	101825
77	8607	101741
78	8709	101541
79	8822	101459
80	8934	101370
81	9035	101155
82	9158	101185
83	9256	100942
84	9376	100932
85	9483	100788
86	9588	100624
87	9698	100516
88	9792	100230
89	9881	99914
90	9988	99774
91	10087	99559
92	10185	99340
93	10294	99224
94	10401	99090
95	10520	99063
96	10645	99103
97	10754	98982
98	10871	98944
99	10988	98897
100	11088	98696
101	11210	98698
102	11333	98702
103	11418	98370
104	11520	98202
105	11628	98075
106	11742	98004
107	11851	97882
108	11969	97841
109	12081	97747
110	12200	97714
111	12311	97611
112	12423	97515
113	12513	97252
114	12612	97065
115	12712	96875
116	12795	96568
117	12893	96374
118	13010	96319
119	13102	96086
120	13199	95887
121	13315	95825
122	13427	95736
123	13539	95650
124	13630	95414
125	13726	95215
126	13839	95131
127	13949	95030
128	14059	94927
129	14162	94778
130	14275	94700
131	14389	94623
132	14496	94500
133	14613	94440
134	14726	94358
135	14841	94286
136	14949	94168
137	15060	94073
138	15185	94063
139	15297	93968
140	15403	93840
141	15520	93779
142	15633	93690
143	15740	93568
144	15846	93439
145	15976	93451
146	16103	93442
147	16213	93336
148	16312	93169
149	16429	93099
150	16543	93016
151	16651	92897
152	16774	92864
153	16883	92748
154	17002	92692
155	17131	92683
156	17257	92664
157	17368	92556
158	17470	92406
159	17577	92281
160	17680	92137
161	17785	91999
162	17898	91907
163	18001	91764
164	18117	91686
165	18228	91581
166	18346	91515
167	18469	91465
168	18581	91367
169	18691	91260
170	18802	91153
171	18911	91037
172	19025	90947
173	19158	90948
174	19287	90926
175	19397	90815
176	19489	90621
177	19610	90561
178	19722	90456
179	19813	90263
180	19923	90152
181	20018	89972
182	20133	89883
183	20238	89754
184	20362	89704
185	20464	89557
186	20580	89477
187	20682	89332
188	20792	89221
189	20911	89150
190	20999	88946
191	21108	88829
192	21222	88736
193	21342	88670
194	21445	88531
195	21570	88482
196	21690	88414
197	21802	88312
198	21915	88213
199	22034	88139
200	22147	88039
201	22254	87918
202	22380	87870
203	22499	87792
204	22623	87735
205	22741	87652
206	22847	87528
207	22956	87409
208	23072	87321
209	23181	87205
210	23303	87138
211	23420	87054
212	23529	86937
213	23631	86797
214	23780	86825
215	23896	86736
216	24021	86676
217	24129	86555
218	24245	86466
219	24381	86442
220	24501	86365
221	24618	86276
222	24747	86228
223	24858	86118
224	24975	86026
225	25084	85909
226	25192	85786
227	25338	85794
228	25456	85708
229	25556	85558
230	25671	85460
231	25784	85355
232	25897	85251
233	26007	85136
234	26114	85011
235	26214	84865
236	26309	84702
237	26425	84606
238	26541	84511
239	26647	84385
240	26762	84285
241	26880	84195
242	26994	84092
243	27085	83921
244	27192	83797
245	27319	83735
246	27432	83630
247	27542	83516
248	27665	83440
249	27747	83243
250	27870	83166
251	27987	83074
252	28092	82946
253	28205	82839
254	28322	82746
255	28431	82628
256	28549	82537
257	28658	82419
258	28772	82319
259	28885	82212
260	29008	82133
261	29126	82042
262	29233	81920
263	29340	81796
264	29424	81612
265	29522	81464
266	29636	81361
267	29752	81264
268	29860	81145
269	29972	81037
270	30070	80891
271	30169	80746
272	30274	80619
273	30370	80470
274	30485	80371
275	30599	80269
276	30713	80166
277	30833	80079
278	30945	79969
279	31051	79845
280	31157	79723
281	31275	79631
282	31386	79519
283	31512	79446
284	31623	79335
285	31735	79227
286	31858	79147
287	31939	78960
288	32026	78790
289	32130	78664
290	32245	78563
291	32347	78432
292	32457	78319
293	32570	78213
294	32673	78083
295	32786	77978
296	32899	77873
297	33007	77756
298	33118	77646
299	33235	77549
300	33354	77458
301	33462	77340
302	33562	77204
303	33679	77109
304	33784	76984
305	33911	76910
306	34039	76838
307	34164	76759
308	34299	76701
309	34423	76619
310	34526	76491
311	34635	76376
312	34760	76296
313	34875	76192
314	34992	76093
315	35105	75987
316	35217	75878
317	35331	75774
318	35497	75780
319	35618	75690
320	35729	75576
321	35841	75467
322	35954	75359
323	36061	75239
324	36173	75129
325	36284	75018
326	36390	74894
327	36486	74753
328	36592	74631
329	36696	74505
330	36801	74381
331	36904	74253
332	37012	74137
333	37118	74014
334	37246	73937
335	37375	73860
336	37475	73727
337	37584	73612
338	37684	73479
339	37786	73350
340	37887	73220
341	37999	73109
342	38110	72998
343	38237	72917
344	38340	72791
345	38443	72664
346	38557	72559
347	38666	72444
348	38780	72337
349	38888	72221
350	39006	72122
351	39108	71994
352	39224	71893
353	39324	71761
354	39442	71663
355	39575	71591
356	39692	71490
357	39804	71381
358	39912	71263
359	40020	71146
360	40134	71041
361	40263	70961
362	40384	70867
363	40515	70790
364	40627	70681
365	40743	70577
366	40833	70430
367	40931	70296
368	41039	70178
369	41134	70040
370	41235	69912
371	41352	69810
372	41464	69700
373	41595	69622
374	41751	69586
375	41869	69485
376	41969	69354
377	42076	69236
378	42177	69109
379	42291	69002
380	42406	68896
381	42512	68776
382	42615	68651
383	42739	68561
384	42862	68469
385	42962	68339
386	43065	68214
387	43180	68109
388	43286	67989
389	43405	67891
390	43524	67791
391	43629	67669
392	43748	67570
393	43848	67441
394	43951	67317
395	44061	67204
396	44181	67106
397	44302	67010
398	44427	66918
399	44578	66867
400	44714	66793
401	44836	66696
402	44942	66577
403	45032	66434
404	45138	66315
405	45243	66194
406	45356	66084
407	45499	66018
408	45600	65892
409	45721	65794
410	45857	65718
411	45972	65610
412	46083	65498
413	46208	65406
414	46328	65306
415	46443	65199
416	46561	65096
417	46682	64997
418	46801	64895
419	46910	64781
420	47024	64672
421	47126	64547
422	47234	64431
423	47389	64377
424	47518	64289
425	47629	64176
426	47747	64072
427	47857	63959
428	47984	63867
429	48080	63734
