iter	Passed	Remaining
0	1	1572
1	3	1524
2	4	1467
3	6	1622
4	8	1616
5	9	1578
6	11	1565
7	12	1525
8	13	1497
9	14	1470
10	16	1452
11	17	1436
12	18	1427
13	20	1429
14	22	1452
15	23	1449
16	25	1454
17	26	1449
18	39	2023
19	40	1994
20	42	1963
21	43	1931
22	44	1908
23	46	1885
24	47	1858
25	49	1837
26	50	1815
27	51	1791
28	53	1781
29	55	1790
30	57	1783
31	58	1768
32	59	1754
33	61	1742
34	62	1728
35	64	1720
36	65	1710
37	67	1702
38	69	1704
39	71	1713
40	73	1709
41	74	1704
42	76	1694
43	77	1684
44	78	1675
45	80	1667
46	81	1659
47	83	1651
48	85	1652
49	86	1652
50	88	1643
51	89	1634
52	91	1627
53	92	1619
54	93	1612
55	95	1604
56	96	1598
57	98	1592
58	99	1584
59	101	1592
60	103	1588
61	104	1582
62	105	1575
63	107	1570
64	108	1565
65	110	1560
66	111	1555
67	113	1550
68	114	1545
69	116	1546
70	118	1551
71	120	1548
72	121	1546
73	123	1543
74	124	1539
75	126	1535
76	127	1530
77	129	1525
78	130	1520
79	131	1517
80	133	1516
81	135	1512
82	136	1507
83	137	1503
84	139	1499
85	140	1495
86	142	1491
87	143	1487
88	144	1483
89	146	1481
90	148	1481
91	150	1481
92	151	1480
93	153	1478
94	154	1475
95	156	1472
96	157	1469
97	159	1467
98	160	1464
99	162	1460
100	164	1462
101	165	1460
102	167	1457
103	168	1454
104	170	1450
105	171	1446
106	172	1443
107	174	1439
108	175	1436
109	177	1433
110	178	1429
111	180	1431
112	182	1428
113	183	1427
114	184	1423
115	186	1420
116	187	1417
117	189	1414
118	190	1411
119	192	1408
120	193	1406
121	194	1403
122	196	1404
123	198	1402
124	200	1400
125	201	1397
126	203	1395
127	204	1393
128	206	1390
129	207	1388
130	208	1385
131	210	1383
132	212	1382
133	213	1380
134	214	1377
135	216	1374
136	217	1372
137	219	1369
138	220	1366
139	221	1363
140	223	1360
141	224	1358
142	226	1355
143	228	1355
144	229	1354
145	231	1352
146	232	1349
147	234	1347
148	235	1344
149	236	1342
150	238	1339
151	239	1336
152	241	1334
153	242	1331
154	244	1331
155	245	1329
156	247	1327
157	249	1327
158	250	1324
159	251	1322
160	253	1320
161	254	1318
162	256	1316
163	257	1315
164	259	1315
165	261	1315
166	263	1313
167	264	1311
168	266	1309
169	267	1306
170	269	1304
171	270	1303
172	272	1300
173	273	1298
174	275	1298
175	276	1296
